n_estados_visitados: 50 cks_encontradas: 4 tempo_de_execucao: 2978 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 51 cks_encontradas: 4 tempo_de_execucao: 2979 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 52 cks_encontradas: 4 tempo_de_execucao: 2979 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 53 cks_encontradas: 4 tempo_de_execucao: 2979 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 54 cks_encontradas: 4 tempo_de_execucao: 2980 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 55 cks_encontradas: 4 tempo_de_execucao: 2980 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 56 cks_encontradas: 4 tempo_de_execucao: 2980 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 57 cks_encontradas: 4 tempo_de_execucao: 2981 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 58 cks_encontradas: 4 tempo_de_execucao: 2981 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 59 cks_encontradas: 4 tempo_de_execucao: 2981 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 60 cks_encontradas: 4 tempo_de_execucao: 2981 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 61 cks_encontradas: 4 tempo_de_execucao: 2982 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 62 cks_encontradas: 4 tempo_de_execucao: 2982 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 63 cks_encontradas: 4 tempo_de_execucao: 2982 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 64 cks_encontradas: 4 tempo_de_execucao: 2983 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 65 cks_encontradas: 4 tempo_de_execucao: 2983 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 66 cks_encontradas: 4 tempo_de_execucao: 2983 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 67 cks_encontradas: 4 tempo_de_execucao: 2984 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 68 cks_encontradas: 4 tempo_de_execucao: 2984 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 69 cks_encontradas: 4 tempo_de_execucao: 2984 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 70 cks_encontradas: 4 tempo_de_execucao: 2985 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 71 cks_encontradas: 4 tempo_de_execucao: 2985 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 72 cks_encontradas: 4 tempo_de_execucao: 2985 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 73 cks_encontradas: 4 tempo_de_execucao: 2986 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 74 cks_encontradas: 4 tempo_de_execucao: 2986 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 75 cks_encontradas: 4 tempo_de_execucao: 2986 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 76 cks_encontradas: 4 tempo_de_execucao: 2986 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 77 cks_encontradas: 4 tempo_de_execucao: 2987 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 78 cks_encontradas: 4 tempo_de_execucao: 2987 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 79 cks_encontradas: 4 tempo_de_execucao: 2987 ms tempo_da_iteracao: 0 ms  memoria: 5517312
